utterance_id,speaker_id,speaker_role_raw,utterance,Comment,,Comments,session_id,annotation1,annotator_name1,annotation2,annotator_name2,Diff_annotations
5076,CHI,target_child,< Anouck .,,, ,Anae/2428.cha,MOT,clara,,,
5077,CHI,target_child,Anaé .,,, ,Anae/2428.cha,MOT,clara,,,
5078,MOT,mother,ouais et puis ?,,, ,Anae/2428.cha,1,clara,,,
5079,BRO,Brother,Agathe Timothé .,,, ,Anae/2428.cha,MOT,clara,,,
5080,CHI,target_child,yyy .,,, ,Anae/2428.cha,MOT,clara,,,
5081,MOT,mother,ils vont venir chez nous ?,,, ,Anae/2428.cha,1,clara,,,
5082,CHI,target_child,‹yyy [=! hoche la tête]› .,,, ,Anae/2428.cha,MOT,clara,,,
5083,MOT,mother,oui ?,,, ,Anae/2428.cha,1,clara,,,
5084,MOT,mother,qu'est-ce qu'il a fait Timothé chez Véro tu m'as raconté ce matin .,,, ,Anae/2428.cha,1,clara,,,
5085,CHI,target_child,yyy .,,, ,Anae/2428.cha,MOT,clara,,,
5086,MOT,mother,pourquoi Véro elle a grondé ?,,, ,Anae/2428.cha,1,clara,,,
5087,CHI,target_child,il a déchire livre .,,, ,Anae/2428.cha,MOT,clara,,,
5088,MOT,mother,il a déchiré le livre ?,,, ,Anae/2428.cha,1,clara,,,
5089,CHI,target_child,yyy .,,, ,Anae/2428.cha,MOT,clara,,,
5090,MOT,mother,et qu'est-ce qu'elle a dit Véro alors ?,,, ,Anae/2428.cha,1,clara,,,
5091,CHI,target_child,elle a grondé .,,, ,Anae/2428.cha,MOT,clara,,,
5092,MOT,mother,qu'est-ce qu'elle a dit pour gronder ?,,, ,Anae/2428.cha,1,clara,,,
5093,CHI,target_child,euh non .,,, ,Anae/2428.cha,MOT,clara,,,
5094,MOT,mother,elle a dit non ?,,, ,Anae/2428.cha,1,clara,,,
5095,MOT,mother,et il est allé où Timothé ?,,, ,Anae/2428.cha,1,clara,,,
5096,BRO,Brother,au coin .,,, ,Anae/2428.cha,MOT,clara,,,
5097,MOT,mother,il est allé au coin ?,,, ,Anae/2428.cha,1,clara,,,
5098,CHI,target_child,yyy .,,, ,Anae/2428.cha,MOT,clara,,,
5099,MOT,mother,il a pleuré ?,,, ,Anae/2428.cha,1,clara,,,
5100,CHI,target_child,l'a déchiré xxx livre .,com CHI parle la bouche pleine,,com CHI parle la bouche pleine ,Anae/2428.cha,MOT,clara,,,
5101,MOT,mother,il a déchiré le livre bah oui c'est pas bien hein !,,, ,Anae/2428.cha,1,clara,,,
5102,MOT,mother,et toi tu fais des bêtises des fois chez Véro ?,,, ,Anae/2428.cha,1,clara,,,
5103,CHI,target_child,‹non [=! signe non de la tête]› .,,, ,Anae/2428.cha,MOT,clara,,,
5104,MOT,mother,non jamais ?,,, ,Anae/2428.cha,1,clara,,,
5105,CHI,target_child,jamais .,,, ,Anae/2428.cha,MOT,clara,,,
5106,MOT,mother,tu vas jamais au coin ?,,, ,Anae/2428.cha,1,clara,,,
5107,CHI,target_child,‹non [=! signe non de la tête]› .,,, ,Anae/2428.cha,MOT,clara,,,
5108,MOT,mother,non jamais [/] jamais [=! signe non de la tête] ?,,, ,Anae/2428.cha,1,clara,,,
5109,CHI,target_child,‹yyy [/]› ‹yyy [=! signe non de la tête]› .,,, ,Anae/2428.cha,MOT,clara,,,
5110,MOT,mother,et à la maison tu fais jamais de bêtises ?,,, ,Anae/2428.cha,1,clara,,,
5111,CHI,target_child,‹non [=! signe non de la tête]› .,,, ,Anae/2428.cha,MOT,clara,,,
5112,MOT,mother,non et chez mamie ?,,, ,Anae/2428.cha,1,clara,,,
5113,CHI,target_child,‹non [=! signe non de la tête]› .,,, ,Anae/2428.cha,MOT,clara,,,
5114,MOT,mother,t(u) as jamais fait de bêtises chez mamie ?,,, ,Anae/2428.cha,1,clara,,,
5115,MOT,mother,t(u) as pas fait une bêtise l'autre jour ?,,, ,Anae/2428.cha,1,clara,,,
5116,MOT,mother,hein ?,,, ,Anae/2428.cha,1,clara,,,
5117,MOT,mother,quand tu t'es sauvée dans la rue c'était pas une bêtise ?,,, ,Anae/2428.cha,1,clara,,,
5118,CHI,target_child,non .,,, ,Anae/2428.cha,MOT,clara,,,
5119,MOT,mother,non c'est pas une bêtise ?,,, ,Anae/2428.cha,1,clara,,,
5120,CHI,target_child,‹non [=! signe non de la tête]› .,,, ,Anae/2428.cha,MOT,clara,,,
5121,MOT,mother,on a le droit de se sauver toute seule dans la rue ?,,, ,Anae/2428.cha,1,clara,,,
5122,CHI,target_child,‹non [=! signe non de la tête]› .,,, ,Anae/2428.cha,MOT,clara,,,
5123,MOT,mother,bah alors !,,, ,Anae/2428.cha,1,clara,,,
5124,MOT,mother,t(u) as fait une bêtise .,,, ,Anae/2428.cha,1,clara,,,
5125,CHI,target_child,< xxx .,%act CHI laisse tomber sa peluche par terre ,,%act CHI laisse tomber sa peluche par terre  ,Anae/2428.cha,MOT,clara,,,
5126,CHI,target_child,je veux encore .,,, ,Anae/2428.cha,MOT,clara,,,
5127,MOT,mother,encore des gâteaux ?,,, ,Anae/2428.cha,1,clara,,,
5128,CHI,target_child,yyy .,%act CHI tend le bras pour avoir des gâteaux ,,%act CHI tend le bras pour avoir des gâteaux  ,Anae/2428.cha,MOT,clara,,,
5129,MOT,mother,si il te plaît .,,, ,Anae/2428.cha,1,clara,,,
5130,CHI,target_child,si il te plaît maman chérie .,,, ,Anae/2428.cha,MOT,clara,,,
5131,MOT,mother,et pourquoi tu t'étais sauvée dans la rue ?,,, ,Anae/2428.cha,1,clara,,,
5132,MOT,mother,hein ?,,, ,Anae/2428.cha,1,clara,,,
5133,CHI,target_child,< .,%act CHI mange,,%act CHI mange ,Anae/2428.cha,NA,clara,,,
5134,MOT,mother,pourquoi tu étais allée dans la rue ?,,, ,Anae/2428.cha,1,clara,,,
5135,CHI,target_child,parce que .,,, ,Anae/2428.cha,MOT,clara,,,
5136,MOT,mother,parce que quoi ?,,, ,Anae/2428.cha,1,clara,,,
5137,CHI,target_child,parce que .,,, ,Anae/2428.cha,MOT,clara,,,
5138,MOT,mother,parce que quoi ?,,, ,Anae/2428.cha,1,clara,,,
5139,BRO,Brother,< parce que <elle voulait> [/] elle [/] elle voulait pas que tu partes .,,, ,Anae/2428.cha,MOT,clara,,,
5140,MOT,mother,parce que tu voulais ta maman ?,,, ,Anae/2428.cha,1,clara,,,
5141,CHI,target_child,‹non [=! signe non de la tête]› .,,, ,Anae/2428.cha,MOT,clara,,,
5142,BRO,Brother,oui .,,, ,Anae/2428.cha,1,clara,,,
5143,BRO,Brother,je crois qu'elle a voulu sa maman et ...,,, ,Anae/2428.cha,MOT,clara,,,
5144,MOT,mother,et est-ce que Ael il fait des bêtises ?,,, ,Anae/2428.cha,1,clara,,,
5145,CHI,target_child,non .,,, ,Anae/2428.cha,MOT,clara,,,
5146,MOT,mother,non jamais ?,,, ,Anae/2428.cha,1,clara,,,
5147,CHI,target_child,non jamais .,,, ,Anae/2428.cha,MOT,clara,,,
5148,MOT,mother,hum hum .,,, ,Anae/2428.cha,1,clara,,,
5149,MOT,mother,et Arthur ?,,, ,Anae/2428.cha,1,clara,,,
5150,CHI,target_child,‹non [=! signe non de la tête]› yyy .,,, ,Anae/2428.cha,MOT,clara,,,
5151,MOT,mother,jamais ?,,, ,Anae/2428.cha,1,clara,,,
5152,MOT,mother,et Homer ?,,, ,Anae/2428.cha,1,clara,,,
5153,CHI,target_child,euh non .,,, ,Anae/2428.cha,MOT,clara,,,
5154,OBS,Investigator,alors on est le vingt trois janvier deux mille neuf .,,, ,Anae/2529.cha,?,clara,,,
5155,OBS,Investigator,et Anaé a deux ans et combien de mois je ne sais plus .,,, ,Anae/2529.cha,?,clara,,,
5156,CHI,target_child,< .,%act CHI tend les mains ouvertes pour attraper le verre tendu par MOT ,,%act CHI tend les mains ouvertes pour attraper le verre tendu par MOT  ,Anae/2529.cha,NA,clara,,,
5157,MOT,mother,six je crois .,,, ,Anae/2529.cha,OBS,clara,,,
5158,OBS,Investigator,< six mois !,,, ,Anae/2529.cha,?,clara,,,
5159,OBS,Investigator,deux ans et demi !,,, ,Anae/2529.cha,1,clara,,,
5160,OBS,Investigator,dis donc !,,, ,Anae/2529.cha,1,clara,,,
5161,CHI,target_child,< [=! sourit] .,,, ,Anae/2529.cha,NA,clara,,,
5162,OBS,Investigator,quelle grande fille !,,, ,Anae/2529.cha,1,clara,,,
5163,OBS,Investigator,ça fait un an que je te filme Anaé !,,, ,Anae/2529.cha,1,clara,,,
5164,OBS,Investigator,j'ai commencé quand t(u) avais un an et demi à te filmer .,,, ,Anae/2529.cha,1,clara,,,
5165,MOT,mother,tu te souviens ?,,, ,Anae/2529.cha,1,clara,,,
5166,OBS,Investigator,[=! rit] .,,, ,Anae/2529.cha,NA,clara,,,
