targetchild,speaker,addressee,session,numberoflines,numberofwords,numberofmorphemes,mlu,mlumorphemes,mattr,numberofuttsinglewords,numberofhapaxes,percquest,ratioturn
Anais,child,CDS,Anais_2511b.cha,,,,,,,,,,
Anais,child,CDS,Anais_2523a.cha,,,,,,,,,,
Anais,child,CDS,Anais_2525a.cha,,,,,,,,,,
Anais,child,CDS,Anais_2621a.cha,,,,,,,,,,
Anais,child,CDS,Anais_28a.cha,56,194,237,3.464,4.232,0.919565217,14,56,0.232,0.44
Anais,child,CDS,Anais_296b.cha,,,,,,,,,,
Theotime,child,CDS,Theotime_2111a.cha,,,,,,,,,,
Theotime,child,CDS,Theotime_239b.cha,10,39,48,3.9,4.8,0.903448276,2,20,0.2,0.2
Theotime,child,CDS,Theotime_2324a.cha,2,9,10,4.5,5,,1,7,0.5,0.5
Theotime,child,CDS,Theotime_2324b.cha,6,17,23,2.833,3.833,0.828571429,2,13,0,0.375
Theotime,child,CDS,Theotime_2422a.cha,18,53,66,2.944,3.666,0.979069767,8,36,0.111,0.157
Theotime,child,CDS,Theotime_252a.cha,9,20,24,2.222,2.666,0.98,4,18,0.111,0.111
Theotime,child,CDS,Theotime_263a.cha,6,24,27,4,4.5,0.7,0,13,0,0.428
Theotime,child,CDS,Theotime_273a.cha,,,,,,,,,,
Theotime,child,CDS,Theotime_2112a.cha,2,10,12,5,6,,1,7,0.5,0.333
Anae,child,OCDS,Anae_215.cha,3,12,12,4,4,0.55,1,2,0.333,0.333
Anae,child,OCDS,Anae_2216.cha,,,,,,,,,,
Anae,child,OCDS,Anae_2428.cha,6,29,34,4.833,5.666,0.952631579,1,25,0,0.333
Anae,child,OCDS,Anae_2529.cha,,,,,,,,,,
Anae,child,OCDS,Anae_2626.cha,8,29,34,3.625,4.25,0.873684211,2,22,0,0.333
Anae,child,OCDS,Anae_284.cha,1,1,1,1,1,,1,1,0,0
Anae,child,OCDS,Anae_2923.cha,,,,,,,,,,
Anae,child,OCDS,Anae_2123.cha,3,19,24,6.333,8,0.988888889,0,17,0.333,0.333
Anae,child,OCDS,Anae_21122.cha,,,,,,,,,,
Anae,child,OCDS,Anae_317.cha,12,49,56,4.083,4.666,0.917948718,2,27,0,0.454
Anais,child,OCDS,Anais_239a.cha,,,,,,,,,,
Anais,child,OCDS,Anais_247a.cha,,,,,,,,,,
Anais,child,OCDS,Anais_247b.cha,,,,,,,,,,
Anais,child,OCDS,Anais_242a.cha,,,,,,,,,,
Anais,child,OCDS,Anais_242b.cha,,,,,,,,,,
Anais,child,OCDS,Anais_2511a.cha,,,,,,,,,,
Anais,child,OCDS,Anais_2511b.cha,,,,,,,,,,
Anais,child,OCDS,Anais_2523a.cha,,,,,,,,,,
Anais,child,OCDS,Anais_2525a.cha,,,,,,,,,,
Anais,child,OCDS,Anais_2621a.cha,,,,,,,,,,
Anais,child,OCDS,Anais_28a.cha,1,4,4,4,4,,0,4,0,0
Anais,child,OCDS,Anais_296b.cha,,,,,,,,,,
Theotime,child,OCDS,Theotime_2111a.cha,,,,,,,,,,
Theotime,child,OCDS,Theotime_239b.cha,,,,,,,,,,
Theotime,child,OCDS,Theotime_2324a.cha,,,,,,,,,,
Theotime,child,OCDS,Theotime_2324b.cha,,,,,,,,,,
Theotime,child,OCDS,Theotime_2422a.cha,,,,,,,,,,
Theotime,child,OCDS,Theotime_252a.cha,,,,,,,,,,
Theotime,child,OCDS,Theotime_263a.cha,,,,,,,,,,
Theotime,child,OCDS,Theotime_273a.cha,,,,,,,,,,
Theotime,child,OCDS,Theotime_2112a.cha,,,,,,,,,,
Anae,child,ADS,Anae_215.cha,24,66,80,2.75,3.333,0.85,10,24,0.416,0.791
Anae,child,ADS,Anae_2216.cha,,,,,,,,,,
Anae,child,ADS,Anae_2428.cha,68,278,344,4.088,5.058,0.908208955,22,83,0.235,0.621
Anae,child,ADS,Anae_2529.cha,,,,,,,,,,
Anae,child,ADS,Anae_2626.cha,58,233,295,4.017,5.086,0.948430493,24,92,0.103,0.637
Anae,child,ADS,Anae_284.cha,66,252,302,3.818,4.575,0.922727273,21,81,0.06,0.731
Anae,child,ADS,Anae_2923.cha,,,,,,,,,,
Anae,child,ADS,Anae_2123.cha,9,28,32,3.111,3.555,1,3,24,0,0.636
Anae,child,ADS,Anae_21122.cha,3,14,15,4.666,5,1,0,12,0.333,0.8
Anae,child,ADS,Anae_317.cha,86,337,403,3.918,4.686,0.906727829,28,111,0.069,0.604
Anais,child,ADS,Anais_239a.cha,1,1,1,1,1,,1,1,0,0.5
Anais,child,ADS,Anais_247a.cha,53,181,227,3.415,4.283,0.908187135,14,48,0.113,0.648
Anais,child,ADS,Anais_247b.cha,37,144,178,3.891,4.81,0.913432836,4,58,0.027,0.591
Anais,child,ADS,Anais_242a.cha,,,,,,,,,,
Anais,child,ADS,Anais_242b.cha,,,,,,,,,,
Anais,child,ADS,Anais_2511a.cha,,,,,,,,,,
Anais,child,ADS,Anais_2511b.cha,,,,,,,,,,
Anais,child,ADS,Anais_2523a.cha,,,,,,,,,,
Anais,child,ADS,Anais_2525a.cha,,,,,,,,,,
Anais,child,ADS,Anais_2621a.cha,,,,,,,,,,
Anais,child,ADS,Anais_28a.cha,55,209,250,3.8,4.545,0.93718593,14,68,0.109,0.596
Anais,child,ADS,Anais_296b.cha,,,,,,,,,,
Theotime,child,ADS,Theotime_2111a.cha,,,,,,,,,,
Theotime,child,ADS,Theotime_239b.cha,22,95,126,4.318,5.727,0.918823529,3,44,0.227,0.615
Theotime,child,ADS,Theotime_2324a.cha,10,13,14,1.3,1.4,0.733333333,9,8,0,0.9
Theotime,child,ADS,Theotime_2324b.cha,,,,,,,,,,
Theotime,child,ADS,Theotime_2422a.cha,30,132,164,4.4,5.466,0.93852459,5,58,0.066,0.612
Theotime,child,ADS,Theotime_252a.cha,36,109,126,3.027,3.5,0.903030303,13,62,0.25,0.76
Theotime,child,ADS,Theotime_263a.cha,13,36,46,2.769,3.538,0.953846154,4,27,0,0.692
Theotime,child,ADS,Theotime_273a.cha,,,,,,,,,,
Theotime,child,ADS,Theotime_2112a.cha,,,,,,,,,,
