keychild register speakers largetotalperchildreg sumperSpeakerChild average.1 average.2 session total.x largetotalperchildkey total.y nb_utt percentage percentageperSpeakerRegisterChild
Hlobohang OCDS adult  338 4561  3.41  2.47 Hlobohang-020100ab.cha 428 11221 428  15   3.5046729  3.012209251
Hlobohang OCDS adult  338 4561  3.41  2.47 Hlobohang-020700ab.cha 366 11221 366  24   6.5573770  3.012209251
Hlobohang OCDS adult  338 4561  3.41  2.47 Hlobohang-030000cd.cha 286 11221 286   6   2.0979021  3.012209251
Hlobohang OCDS adult  338 4561  3.41  2.47 Hlobohang-020100ef.cha 461 11221 461  50  10.8459870  3.012209251
Hlobohang OCDS adult  338 4561  3.41  2.47 Hlobohang-020400cd.cha 738 11221 738  29   3.9295393  3.012209251
Hlobohang OCDS adult  338 4561  3.41  2.47 Hlobohang-020400ab.cha 741 11221 741  20   2.6990553  3.012209251
Hlobohang OCDS adult  338 4561  3.41  2.47 Hlobohang-020800cd.cha 371 11221 371   4   1.0781671  3.012209251
Hlobohang OCDS adult  338 4561  3.41  2.47 Hlobohang-021100ab.cha 232 11221 232   3   1.2931034  3.012209251
Hlobohang OCDS adult  338 4561  3.41  2.47 Hlobohang-020100cd.cha 569 11221 569  20   3.5149385  3.012209251
Hlobohang OCDS adult  338 4561  3.41  2.47 Hlobohang-020200cd.cha 857 11221 857  33   3.8506418  3.012209251
Hlobohang OCDS adult  338 4561  3.41  2.47 Hlobohang-021100cd.cha 550 11221 550  20   3.6363636  3.012209251
Hlobohang OCDS child  311 4979  5.04  5.33 Hlobohang-020100ab.cha 428 11221 428   6   1.4018692  2.771588985
Hlobohang OCDS child  311 4979  5.04  5.33 Hlobohang-021100ab.cha 232 11221 232   9   3.8793103  2.771588985
Hlobohang OCDS child  311 4979  5.04  5.33 Hlobohang-020600cd.cha 393 11221 393  19   4.8346056  2.771588985
Hlobohang OCDS child  311 4979  5.04  5.33 Hlobohang-020500cd.cha 970 11221 970   6   0.6185567  2.771588985
Hlobohang OCDS child  311 4979  5.04  5.33 Hlobohang-020100ef.cha 461 11221 461  17   3.6876356  2.771588985
Hlobohang OCDS child  311 4979  5.04  5.33 Hlobohang-020400cd.cha 738 11221 738  38   5.1490515  2.771588985
Hlobohang OCDS child  311 4979  5.04  5.33 Hlobohang-020800ab.cha 328 11221 328  19   5.7926829  2.771588985
Hlobohang OCDS child  311 4979  5.04  5.33 Hlobohang-020100cd.cha 569 11221 569  13   2.2847100  2.771588985
Hlobohang OCDS child  311 4979  5.04  5.33 Hlobohang-030000cd.cha 286 11221 286   4   1.3986014  2.771588985
Hlobohang OCDS child  311 4979  5.04  5.33 Hlobohang-020500ab.cha 627 11221 627  88  14.0350877  2.771588985
Hlobohang OCDS child  311 4979  5.04  5.33 Hlobohang-020900e.cha  69 11221  69  14  20.2898551  2.771588985
Hlobohang OCDS child  311 4979  5.04  5.33 Hlobohang-020200cd.cha 857 11221 857  18   2.1003501  2.771588985
Hlobohang OCDS child  311 4979  5.04  5.33 Hlobohang-020700ab.cha 366 11221 366   4   1.0928962  2.771588985
Hlobohang OCDS child  311 4979  5.04  5.33 Hlobohang-020400ab.cha 741 11221 741  40   5.3981107  2.771588985
Hlobohang OCDS child  311 4979  5.04  5.33 Hlobohang-020600ab.cha 444 11221 444  16   3.6036036  2.771588985
Hlobohang OCDS mother  115 1681  1.43  1.35 Hlobohang-020600ab.cha 444 11221 444  12   2.7027027  1.024864094
Hlobohang OCDS mother  115 1681  1.43  1.35 Hlobohang-020500cd.cha 970 11221 970   4   0.4123711  1.024864094
Hlobohang OCDS mother  115 1681  1.43  1.35 Hlobohang-020700ab.cha 366 11221 366   3   0.8196721  1.024864094
Hlobohang OCDS mother  115 1681  1.43  1.35 Hlobohang-020400ab.cha 741 11221 741  10   1.3495277  1.024864094
Hlobohang OCDS mother  115 1681  1.43  1.35 Hlobohang-020100ef.cha 461 11221 461  20   4.3383948  1.024864094
Hlobohang OCDS mother  115 1681  1.43  1.35 Hlobohang-020800ef.cha 320 11221 320   7   2.1875000  1.024864094
Hlobohang OCDS mother  115 1681  1.43  1.35 Hlobohang-020200ab.cha 998 11221 998   3   0.3006012  1.024864094
Hlobohang OCDS mother  115 1681  1.43  1.35 Hlobohang-030000ab.cha 277 11221 277   1   0.3610108  1.024864094
Hlobohang OCDS mother  115 1681  1.43  1.35 Hlobohang-020400cd.cha 738 11221 738   1   0.1355014  1.024864094
Hlobohang OCDS mother  115 1681  1.43  1.35 Hlobohang-020100ab.cha 428 11221 428   1   0.2336449  1.024864094
