keychild register speakers largetotalperchild sumperSpeakerChild average.1 average.2 session total nb_utt percentage percentageperSpeakerRegisterChild
Theotime CDS mother 3671 3877 89.72  8.47 Theotime/239b.cha  485 419 86.39175258   105.6115
Theotime CDS mother 3671 3877 89.72  8.47 Theotime/273a.cha  417 413 99.04076739   105.6115
Theotime CDS mother 3671 3877 89.72  8.47 Theotime/2422a.cha  524 438 83.58778626   105.6115
Theotime CDS mother 3671 3877 89.72  8.47 Theotime/2112a.cha  354 345 97.45762712   105.6115
Theotime CDS mother 3671 3877 89.72  8.47 Theotime/263a.cha  469 399 85.07462687   105.6115
Theotime CDS mother 3671 3877 89.72  8.47 Theotime/2111a.cha  444 431 97.07207207   105.6115
Theotime Investigator mother   29 3877  1.03  0.59 Theotime/263a.cha  469   4  0.85287846 13368.9655
Theotime Investigator mother   29 3877  1.03  0.59 Theotime/2324a.cha  465   7  1.50537634 13368.9655
Theotime Investigator mother   29 3877  1.03  0.59 Theotime/2422a.cha  524   1  0.19083969 13368.9655
Theotime Investigator mother   29 3877  1.03  0.59 Theotime/2111a.cha  444   8  1.80180180 13368.9655
Theotime Investigator mother   29 3877  1.03  0.59 Theotime/252a.cha  483   3  0.62111801 13368.9655
Theotime Investigator mother   29 3877  1.03  0.59 Theotime/239b.cha  485   6  1.23711340 13368.9655
Theotime OCDS mother  165 3877  4.92  3.46 Theotime/252a.cha  483  45  9.31677019  2349.6970
Theotime OCDS mother  165 3877  4.92  3.46 Theotime/2324b.cha  474   2  0.42194093  2349.6970
Theotime OCDS mother  165 3877  4.92  3.46 Theotime/2422a.cha  524  28  5.34351145  2349.6970
Theotime OCDS mother  165 3877  4.92  3.46 Theotime/2324a.cha  465  30  6.45161290  2349.6970
Theotime OCDS mother  165 3877  4.92  3.46 Theotime/263a.cha  469  39  8.31556503  2349.6970
Theotime OCDS mother  165 3877  4.92  3.46 Theotime/239b.cha  485  18  3.71134021  2349.6970
Theotime OCDS mother  165 3877  4.92  3.46 Theotime/2112a.cha  354   3  0.84745763  2349.6970
Theotime unclassified child   19  214  1.98  1.89 Theotime/263a.cha  469   3  0.63965885  1126.3158
Theotime unclassified child   19  214  1.98  1.89 Theotime/252a.cha  483  16  3.31262940  1126.3158
Theotime unclassified mother    7 3877  0.31  0.17 Theotime/2324b.cha  474   1  0.21097046 55385.7143
Theotime unclassified mother    7 3877  0.31  0.17 Theotime/263a.cha  469   1  0.21321962 55385.7143
Theotime unclassified mother    7 3877  0.31  0.17 Theotime/2111a.cha  444   1  0.22522523 55385.7143
Theotime unclassified mother    7 3877  0.31  0.17 Theotime/239b.cha  485   3  0.61855670 55385.7143
Theotime unclassified mother    7 3877  0.31  0.17 Theotime/2112a.cha  354   1  0.28248588 55385.7143
