targetchild,speaker,addressee,session,numberoflines,numberofwords,mlu,mattr,numberofuttsinglewords,numberofhapaxes,percquest,ratioturn
Litlhare,child,CDS,Litlhare-020600cd.cha,197,562,2.852,0.904166666667,40,199,.177,.362
Litlhare,child,CDS,Litlhare-020600e.cha,,,,,,,,
Litlhare,child,CDS,Litlhare-020800ab.cha,393,1173,2.984,0.883748925193,75,305,.114,.469
Litlhare,child,CDS,Litlhare-020800cd.cha,342,920,2.690,0.886703296703,92,262,.105,.409
Litlhare,child,CDS,Litlhare-020900ab.cha,326,1090,3.343,0.880740740741,58,270,.131,.400
Litlhare,child,CDS,Litlhare-020900cd.cha,20,74,3.700,0.76875,3,25,.050,.526
Litlhare,child,CDS,Litlhare-021000ab.cha,717,2055,2.866,0.880684596577,137,432,.182,.429
Litlhare,child,CDS,Litlhare-021000cd.cha,322,1003,3.114,0.899295065458,46,256,.102,.523
Litlhare,child,CDS,Litlhare-030200ab.cha,263,738,2.806,0.867582417582,46,195,.197,.501
Litlhare,child,CDS,Litlhare-030200cd.cha,384,1149,2.992,0.889727831431,73,310,.174,.490
Neuoe,child,CDS,Neuoe-030800ab.cha,27,72,2.666,0.793548387097,7,26,.074,.296
Neuoe,child,CDS,Neuoe-030800cd.cha,24,60,2.500,0.828,4,36,.083,.173
Neuoe,child,CDS,Neuoe-030800ef.cha,27,73,2.703,0.787301587302,3,34,.185,.333
Neuoe,child,CDS,Neuoe-030900a.cha,65,171,2.630,0.782608695652,19,63,.030,.218
Neuoe,child,CDS,Neuoe-030900b.cha,,,,,,,,
Neuoe,child,CDS,Neuoe-031000ab.cha,,,,,,,,
Neuoe,child,CDS,Neuoe-031000cd.cha,76,186,2.447,0.824431818182,21,67,.052,.302
Neuoe,child,CDS,Neuoe-031000e.cha,139,410,2.949,0.83225,27,104,.115,.316
Neuoe,child,CDS,Neuoe-040000ab.cha,179,509,2.843,0.87755511022,37,153,.100,.508
Neuoe,child,CDS,Neuoe-040000cd.cha,267,848,3.176,0.878400954654,36,191,.063,.323
Neuoe,child,CDS,Neuoe-040100ab.cha,114,284,2.491,0.894525547445,35,117,.114,.318
Neuoe,child,CDS,Neuoe-040100cd.cha,145,493,3.400,0.889440993789,23,141,.117,.290
Neuoe,child,CDS,Neuoe-040100ef.cha,50,129,2.580,0.842857142857,11,59,.120,.224
Neuoe,child,CDS,Neuoe-040300ab.cha,55,194,3.527,0.867934782609,4,83,.163,.254
Neuoe,child,CDS,Neuoe-040300cd.cha,126,392,3.111,0.880890052356,17,136,.158,.200
Neuoe,child,CDS,Neuoe-040300e.cha,16,54,3.375,0.877272727273,1,30,0,.250
Neuoe,child,CDS,Neuoe-040300f.cha,19,64,3.368,0.898148148148,2,39,.210,.315
Neuoe,child,CDS,Neuoe-040500ab.cha,185,723,3.908,0.872931276297,22,189,.086,.384
Neuoe,child,CDS,Neuoe-040500cd.cha,88,336,3.818,0.889877300613,9,137,.113,.253
Neuoe,child,CDS,Neuoe-040500e.cha,38,95,2.500,0.902352941176,11,55,.026,.171
Neuoe,child,CDS,Neuoe-040700ab.cha,35,134,3.828,0.875,3,71,.142,.235
Neuoe,child,CDS,Neuoe-040700cd.cha,42,176,4.190,0.884337349398,3,86,.119,.550
Neuoe,child,CDS,Neuoe-040700e.cha,27,114,4.222,0.879807692308,2,66,.074,.370
Hlobohang,child,OCDS,Hlobohang-020100ab.cha,,,,,,,,.166
Hlobohang,child,OCDS,Hlobohang-020100cd.cha,13,46,3.538,0.908333333333,3,23,.384,.833
Hlobohang,child,OCDS,Hlobohang-020100ef.cha,17,32,1.882,0.759090909091,8,13,.117,.312
Hlobohang,child,OCDS,Hlobohang-020200ab.cha,,,,,,,,
Hlobohang,child,OCDS,Hlobohang-020200cd.cha,18,59,3.277,0.891836734694,0,36,.111,.833
Hlobohang,child,OCDS,Hlobohang-020400ab.cha,40,106,2.650,0.816666666667,15,41,.375,.710
Hlobohang,child,OCDS,Hlobohang-020400cd.cha,38,127,3.342,0.888034188034,4,47,.184,.421
Hlobohang,child,OCDS,Hlobohang-020500ab.cha,88,234,2.659,0.922321428571,28,94,.181,.651
Hlobohang,child,OCDS,Hlobohang-020500cd.cha,6,14,2.333,1.0,1,12,.666,.500
Hlobohang,child,OCDS,Hlobohang-021100ab.cha,9,17,1.888,0.642857142857,3,7,.111,.125
Hlobohang,child,OCDS,Hlobohang-021100cd.cha,,,,,,,,
Hlobohang,child,OCDS,Hlobohang-020600ab.cha,16,45,2.812,0.868571428571,2,15,0,.500
Hlobohang,child,OCDS,Hlobohang-020600cd.cha,19,56,2.947,0.917391304348,1,32,.105,.052
Hlobohang,child,OCDS,Hlobohang-020700ab.cha,4,14,3.500,0.925,0,8,.500,.250
Hlobohang,child,OCDS,Hlobohang-020700cd.cha,,,,,,,,
Hlobohang,child,OCDS,Hlobohang-020800ab.cha,19,47,2.473,0.918918918919,7,23,.368,.578
Hlobohang,child,OCDS,Hlobohang-020800cd.cha,,,,,,,,
Hlobohang,child,OCDS,Hlobohang-020800ef.cha,,,,,,,,
Hlobohang,child,OCDS,Hlobohang-020900ab.cha,,,,,,,,
Hlobohang,child,OCDS,Hlobohang-020900cd.cha,,,,,,,,
Hlobohang,child,OCDS,Hlobohang-020900e.cha,14,31,2.214,0.657142857143,3,9,.428,.357
Hlobohang,child,OCDS,Hlobohang-030000ab.cha,,,,,,,,
Hlobohang,child,OCDS,Hlobohang-030000cd.cha,,,,,,,,.250
Litlhare,child,OCDS,Litlhare-020100ab.cha,43,99,2.302,0.814606741573,13,32,.232,.439
Litlhare,child,OCDS,Litlhare-020100cd.cha,,,,,,,,.333
Litlhare,child,OCDS,Litlhare-020100ef.cha,51,146,2.862,0.888235294118,18,60,.254,.540
Litlhare,child,OCDS,Litlhare-020200ab.cha,,,,,,,,
Litlhare,child,OCDS,Litlhare-020200cd.cha,7,27,3.857,0.870588235294,1,14,.285,.428
Litlhare,child,OCDS,Litlhare-020400ab.cha,,,,,,,,0
Litlhare,child,OCDS,Litlhare-020400cd.cha,13,45,3.461,0.905714285714,0,30,.076,.384
Litlhare,child,OCDS,Litlhare-020500ab.cha,21,60,2.857,0.914,4,38,.047,.400
Litlhare,child,OCDS,Litlhare-020500cd.cha,26,80,3.076,0.917142857143,6,45,.230,.384
Litlhare,child,OCDS,Litlhare-020500ef.cha,,,,,,,,
Litlhare,child,OCDS,Litlhare-030000ab.cha,13,43,3.307,0.930303030303,2,31,.076,.230
Litlhare,child,OCDS,Litlhare-030000cd.cha,3,13,4.333,1.0,0,11,.333,.666
Litlhare,child,OCDS,Litlhare-020600ab.cha,,,,,,,,
Litlhare,child,OCDS,Litlhare-020600cd.cha,,,,,,,,0
Litlhare,child,OCDS,Litlhare-020600e.cha,,,,,,,,
Litlhare,child,OCDS,Litlhare-020800ab.cha,6,13,2.166,0.9,2,11,.166,.500
Litlhare,child,OCDS,Litlhare-020800cd.cha,,,,,,,,
Litlhare,child,OCDS,Litlhare-020900ab.cha,12,41,3.416,0.858064516129,5,20,.250,.300
Litlhare,child,OCDS,Litlhare-020900cd.cha,,,,,,,,
Litlhare,child,OCDS,Litlhare-021000ab.cha,20,54,2.700,0.906818181818,5,32,.100,.388
Litlhare,child,OCDS,Litlhare-021000cd.cha,38,130,3.421,0.943333333333,6,66,.105,.552
Litlhare,child,OCDS,Litlhare-030200ab.cha,23,67,2.913,0.926315789474,6,35,.173,.304
Litlhare,child,OCDS,Litlhare-030200cd.cha,44,156,3.545,0.948630136986,4,70,.272,.418
Neuoe,child,OCDS,Neuoe-030800ab.cha,,,,,,,,.500
Neuoe,child,OCDS,Neuoe-030800cd.cha,184,507,2.755,0.848490945674,42,133,.119,.840
Neuoe,child,OCDS,Neuoe-030800ef.cha,76,229,3.013,0.886757990868,11,94,.131,.513
Neuoe,child,OCDS,Neuoe-030900a.cha,261,688,2.636,0.846460176991,67,179,.091,.972
Neuoe,child,OCDS,Neuoe-030900b.cha,,,,,,,,0
Neuoe,child,OCDS,Neuoe-031000ab.cha,27,79,2.925,0.926086956522,8,48,.111,.480
Neuoe,child,OCDS,Neuoe-031000cd.cha,10,22,2.200,0.925,3,12,.100,0
