"register" "speakers" "keychild" "session" "nb_utt"
"ADS" "child" "Neuoe" "Neuoe-030900b.cha" 54
"OCDS" "child" "Neuoe" "Neuoe-030900b.cha" 3
"ADS" "mother" "Neuoe" "Neuoe-030900b.cha" 1
"OCDS" "mother" "Neuoe" "Neuoe-030900b.cha" 61
"OCDS" "adult" "Neuoe" "Neuoe-031000ab.cha" 3
"ADS" "child" "Neuoe" "Neuoe-031000ab.cha" 559
"OCDS" "child" "Neuoe" "Neuoe-031000ab.cha" 27
"ADS" "mother" "Neuoe" "Neuoe-031000ab.cha" 11
"OCDS" "mother" "Neuoe" "Neuoe-031000ab.cha" 369
"ADS" "adult" "Neuoe" "Neuoe-031000cd.cha" 10
"CDS" "adult" "Neuoe" "Neuoe-031000cd.cha" 95
"OCDS" "adult" "Neuoe" "Neuoe-031000cd.cha" 225
"ADS" "child" "Neuoe" "Neuoe-031000cd.cha" 372
"CDS" "child" "Neuoe" "Neuoe-031000cd.cha" 76
"OCDS" "child" "Neuoe" "Neuoe-031000cd.cha" 10
"ADS" "mother" "Neuoe" "Neuoe-031000cd.cha" 9
"OCDS" "mother" "Neuoe" "Neuoe-031000cd.cha" 169
"ADS" "adult" "Neuoe" "Neuoe-031000e.cha" 5
"CDS" "adult" "Neuoe" "Neuoe-031000e.cha" 203
"OCDS" "adult" "Neuoe" "Neuoe-031000e.cha" 91
"unclassified" "adult" "Neuoe" "Neuoe-031000e.cha" 2
"ADS" "child" "Neuoe" "Neuoe-031000e.cha" 54
"CDS" "child" "Neuoe" "Neuoe-031000e.cha" 139
"OCDS" "child" "Neuoe" "Neuoe-031000e.cha" 18
"unclassified" "child" "Neuoe" "Neuoe-031000e.cha" 53
"OCDS" "mother" "Neuoe" "Neuoe-031000e.cha" 5
"CDS" "adult" "Neuoe" "Neuoe-040000ab.cha" 6
"OCDS" "adult" "Neuoe" "Neuoe-040000ab.cha" 19
"ADS" "child" "Neuoe" "Neuoe-040000ab.cha" 60
"CDS" "child" "Neuoe" "Neuoe-040000ab.cha" 179
"OCDS" "child" "Neuoe" "Neuoe-040000ab.cha" 472
"unclassified" "child" "Neuoe" "Neuoe-040000ab.cha" 1
"CDS" "mother" "Neuoe" "Neuoe-040000ab.cha" 6
"OCDS" "mother" "Neuoe" "Neuoe-040000ab.cha" 78
"ADS" "child" "Neuoe" "Neuoe-040000cd.cha" 156
"CDS" "child" "Neuoe" "Neuoe-040000cd.cha" 267
"OCDS" "child" "Neuoe" "Neuoe-040000cd.cha" 235
"unclassified" "child" "Neuoe" "Neuoe-040000cd.cha" 1
"CDS" "mother" "Neuoe" "Neuoe-040000cd.cha" 15
"OCDS" "mother" "Neuoe" "Neuoe-040000cd.cha" 179
"ADS" "adult" "Neuoe" "Neuoe-040100ab.cha" 1
"OCDS" "adult" "Neuoe" "Neuoe-040100ab.cha" 8
"ADS" "child" "Neuoe" "Neuoe-040100ab.cha" 269
"CDS" "child" "Neuoe" "Neuoe-040100ab.cha" 114
"OCDS" "child" "Neuoe" "Neuoe-040100ab.cha" 2
"unclassified" "child" "Neuoe" "Neuoe-040100ab.cha" 2
"ADS" "mother" "Neuoe" "Neuoe-040100ab.cha" 2
"CDS" "mother" "Neuoe" "Neuoe-040100ab.cha" 200
"OCDS" "mother" "Neuoe" "Neuoe-040100ab.cha" 342
