utterance_id	speaker_id	speaker_role_raw	utterance	Comment	X	Comments	session_id	annotation1	annotator_name1	annotator1_comment	annotation2	annotator_name2	annotator2_comment	Diff_annotations	keychild	speaker	role_adressee
19041	MOT	mother	tu veux faire le puzzle?				Anais/247b.cha	1	clara						Anais	mother	Keychild
19049	MOT	mother	tu veux l'autre puzzle Ana?				Anais/247b.cha	1	clara						Anais	mother	Keychild
19051	MOT	mother	tu le veux?				Anais/247b.cha	1	clara						Anais	mother	Keychild
19060	MOT	mother	et toi tu restes là //				Anais/247b.cha	1	clara						Anais	mother	Keychild
19061	MOT	mother	petite Ana			%com passage non transcrit entre Mot et Chl 13151551319567/Anais/247b.cha	Anais/247b.cha	1	clara						Anais	mother	Keychild
19066	MOT	mother	Ninette tu restes là aussi				Anais/247b.cha	1	clara						Anais	mother	Keychild
19067	MOT	mother	tu vas tomber dans les escaliers				Anais/247b.cha	1	clara						Anais	mother	Keychild
19069	MOT	mother	viens là petite				Anais/247b.cha	1	clara						Anais	mother	Keychild
19071	MOT	mother	comment ça?				Anais/247b.cha	1	clara						Anais	mother	Keychild
19079	MOT	mother	ouais				Anais/247b.cha	1	L						Anais	mother	Keychild
19080	MOT	mother	je vous ai dit que j'étais dessous				Anais/247b.cha	1	L						Anais	mother	Keychild
19084	MOT	mother	ça làbas ouais				Anais/247b.cha	1	clara						Anais	mother	Keychild
19086	MOT	mother	fais attention toi avec tes collants tu glisses				Anais/247b.cha	1	clara						Anais	mother	Keychild
19091	MOT	mother	allez oust				Anais/247b.cha	1	clara						Anais	mother	Keychild
19092	MOT	mother	doucement doucement				Anais/247b.cha	1	clara						Anais	mother	Keychild
19093	MOT	mother	allez oust			%sit  Ana et Chl ramènent un puzzle 143398144313/Anais/247b.cha	Anais/247b.cha	1	clara						Anais	mother	Keychild
19094	MOT	mother	ouais mettez vous sur le plancher				Anais/247b.cha	1	clara						Anais	mother	Keychild
19095	MOT	mother	vous aurez moins froid				Anais/247b.cha	1	clara						Anais	mother	Keychild
19096	MOT	mother	attends Nine				Anais/247b.cha	1	clara						Anais	mother	Keychild
19099	MOT	mother	top				Anais/247b.cha	1	clara						Anais	mother	Keychild
19100	MOT	mother	top top on s'arrête là				Anais/247b.cha	1	clara						Anais	mother	Keychild
19103	MOT	mother	làbas sous la télé				Anais/247b.cha	1	clara						Anais	mother	Keychild
19107	MOT	mother	alors dans l'autre sens				Anais/247b.cha	1	clara						Anais	mother	Keychild
19110	MOT	mother	comme ça				Anais/247b.cha	1	clara						Anais	mother	Keychild
19115	MOT	mother	comme ça Nounette				Anais/247b.cha	1	clara						Anais	mother	Keychild
19116	MOT	mother	regarde				Anais/247b.cha	1	clara						Anais	mother	Keychild
19120	MOT	mother	attends celuilà on le met là				Anais/247b.cha	1	clara						Anais	mother	Keychild
19122	MOT	mother	celuilà on le met là				Anais/247b.cha	1	clara						Anais	mother	Keychild
19124	MOT	mother	voilà				Anais/247b.cha	1	clara						Anais	mother	Keychild
19126	MOT	mother	vas y accroche là				Anais/247b.cha	1	clara						Anais	mother	Keychild
19129	MOT	mother	hop				Anais/247b.cha	1	clara						Anais	mother	Keychild
19130	MOT	mother	tiens				Anais/247b.cha	1	clara						Anais	mother	Keychild
19131	MOT	mother	celuilà là				Anais/247b.cha	1	clara						Anais	mother	Keychild
19132	MOT	mother	avec les rouges hein				Anais/247b.cha	1	clara						Anais	mother	Keychild
19134	MOT	mother	tous les rouges				Anais/247b.cha	1	clara						Anais	mother	Keychild
19136	MOT	mother	voilà comme ça				Anais/247b.cha	1	clara						Anais	mother	Keychild
19143	MOT	mother	je sais pas				Anais/247b.cha	1	clara						Anais	mother	Keychild
19144	MOT	mother	mets d'abord  tous les carrés				Anais/247b.cha	1	clara						Anais	mother	Keychild
19145	MOT	mother	prends l'autre bleu Ana				Anais/247b.cha	1	clara						Anais	mother	Keychild
19146	MOT	mother	non il va pas là Minou				Anais/247b.cha	1	clara						Anais	mother	Keychild
19148	MOT	mother	prend l'autre bleu				Anais/247b.cha	1	clara						Anais	mother	Keychild
19150	MOT	mother	je sais pas où elle va			%com passage non transcrit de Chl 16228168627/Anais/247b.cha	Anais/247b.cha	1	clara						Anais	mother	Keychild
19156	MOT	mother	là tu crois?				Anais/247b.cha	1	clara						Anais	mother	Keychild
19158	MOT	mother	non				Anais/247b.cha	1	clara						Anais	mother	Keychild
19159	MOT	mother	mhm mhm				Anais/247b.cha	1	clara						Anais	mother	Keychild
19161	MOT	mother	non là				Anais/247b.cha	1	clara						Anais	mother	Keychild
19163	MOT	mother	peutêtre hein				Anais/247b.cha	1	clara						Anais	mother	Keychild
19165	MOT	mother	il va là?				Anais/247b.cha	1	clara						Anais	mother	Keychild
